id,quarter,swimlane,position,status,title,description,icon,wb1,wb2,wb3,wb4,wb5,wb6,business_case,what_success,analysis,analysis_url
1,1,Other,1,Done,CSV Edit,"Prevent loss of HVP revenue, ~$3.5m per year",,,,,,,,HVP revenue would decrease at ~$10k per day ($3.5m per year) if this feature is not implemented.,Maintain current HVPs. Increase HVP stakes by 5%,n/a,
2,1,Other,2,Done,Leaderboards,+$1.1m per year (+0.70% in weekly revenue),,Admin Dashboard,User Facing Board,,,,,"We've previously run leaderboards on Rotogrinders, and expect to drive ~$3m of revenue annually",Driving a weekly increase in revenue of +0.70%,n/a,
3,1,Growth,3,Done,Fantasy Pros,Maintain relationship with top affiliate,,Send user_id,1st contest entered,,,,,Fantasy Pros is our largest affiliate in terms of FTD source,n/a,n/a,
4,1,Partnerships,4,Done,TuneIn Live Buttons (Phase 1),+$1m per year in revenue,updated,Button on Live Scoring,,,,,,<b>Concept</b> - leverage our live platform to offer users companion products that enhance the live experience. <br>This product is truely revenue driving and U/X positive. This should be a phased partnership with the basic partnership being branding on live that directly links to a partners site for user trial/acquisition. Future phases of this product will include watching/listening to live content.,(1) Maintain client satisfaction<br>(2) Revenue from TuneIn of ~$1m<br>(3) Feature is in the position for Phase 2 improvements and additional partners,n/a,
5,2,Growth,5,In Progress,Mid-May Acquisition Offer,+5% Impact on New User Payback,new,Copy Change FTD Page,Copy Change Payment Success,,,,,Replace the current base acquistion offer (5-pack) with a prior acquistion offer (Refund if you lose) given we have data the shows it performs better,We will conduct a pre-post analysis against 2015 and 2016 to determine whether we increased FTDs and median FTD amount.,n/a,
6,2,Partnerships,5,In Progress,Partnership Enablement,Partnership team can self-manage PB 2.0 (50+ partners per year),,PB 2.0 only,No Friends Mode,,,,,"Branded Partnerships require firm deadlines to be met. We anticipate ~54 partnerships in 2017. In order to run a branded business, we need to deliver 100% of the time and strive to flawless execution. Once agreed to, partnership work for clients cannot be missed due to prioritization.<br>We will need to automate the delivery process for high numbers of partnerships to avoid a lot of repetitive engineering work.",(1) Integrated Partnership team is satisfied<br>(2) Tool is used to onboard 50+ new partners for PB 2.0 in 2017,n/a,
7,2,Other,6,In Progress,Improve Login Security,Deliver a customer level 'Detect and React' solution for security,updated,User warnings,Capture & Store Login Info,,,,,"Known limitation on the site, which has already seen exploit. Key account (HVP or admin) takeover as a result of not giving users sufficient means to prevent and detect malicious activity on their accounts, resulting in >$250k financial loss to revenue intake e.g. customer loss or refunds given",Deliver a customer level 'Detect and React' solution for security,n/a,https://docs.google.com/presentation/d/1lJEQEyR035yCtAaJ8y7Mj1dEMqmaAyVXCk5klfC9It4/edit?ts=5890bf46#slide=id.p
8,2,Growth,7,In Progress,Paypal via BrainTree,Remove deprecated PayPal integration,,,,,,,,,,n/a,
9,2,Growth,8,Prioritized,Improve FTD Flow,+10% Impact on New User Payback,,Redo FTD Page,Improve Promo Admin,Connect to Campaign Flow,Track FTD vs. Dep Pageviews,,,"The FTD page is a crucial step in the new user journey, where a user decides whether or not to be a FanDuel customer. To optimize this step in the funnel, acquisition marketing need functionality on the FTD page to: <br>(1) Provide details about an offer that the user signed up with (via promocode or other tagging means) <br>(2) Add, edit or remove offers users can sign up with <br>(3) Handle multiple live offers at the same time <br>(4) Change the standard choices for deposit amount",We provide a tool to acquisition marketing provides the flexibility to present multiple offers at the time based on a User's promo id. Acquisition will use the tool to measure and analyze the best performing offers.,n/a,
10,3,Other,9,Prioritized,ACH,+$1.5m cost savings per year,up,,,,,,,Estimated annual cost savings of $1.5M to $1.8M (this is off a current annual payment transaction cost of $11.5M). This is based on ACH transactions costing $0.25 vs the roughly 2% rate charged on deposits/withdrawals for PayPal or CC.,,n/a,https://docs.google.com/spreadsheets/d/1l-QKGkvptXlX0ZwqQii8lJ2x1hmIGMtMyyk2R6_UZE4/edit?ts=583c45f8#gid=0
11,3,Other,10,Prioritized,FDP Overhaul,TBD,up,,,,,,,,,n/a,
12,3,Partnerships,9,Prioritized,Video Gate,+$1m per year,,Serve Video,Give access to contest,Add to Admin tool,,,,"Improve Videogate experience, increasing adoption of the platform driving increased close rate and higher revenue per deal. Includes passive revenue from Free Play multiplier.",The integrated partnership team is able to sell a video ad placement<br>Video gate feature drives an additional $1m partnership revenue over the next 12 months,n/a,
13,4,Growth,11,Prioritized,Web Signup Optimizations,+5% Impact on New User Payback,,Examples:,Real countdown timer,Improve KYC flow,,,,Optimization of the New User/FTD/KYC/CRM for web flows to improved conversion by x% reducing CPA and enhancing LTV ,"During an unpack, the team develops ideas for improving Web signup<br>Visit to FTD conversion improves by 5%",n/a,
14,4,Partnerships,11,Prioritized,Ad Redesign,+$500k per year,,Better site design,,,,,,"Improve partner experience, enhancing look and feel of the site and driving increased revenue",Qualitative: Integrated Partnership sales team does not consider Ad Design as a reason for lost deals,n/a,
15,4,Partnerships,12,Prioritized,TuneIn Phase 2,Part of contract,new,Dynamic Linking,Integrate TuneIn Content,,,,,"TuneIn Phase 2 is part of the initial contract. Though this work is not mandated, it would be seen as bad faith. Without this work, there would be no contract renewal<p>Integrating TuneIn content on site would provide a positive UX and more sport related content (both web and app)",(1) Maintain client satisfaction<br>(2) Increase engagement on the Live Scoring page,n/a,
16,4,Growth,12,Prioritized,Reactivation offer promocodes (testing for radio/tv),+3.5% Impact on New User Payback,down,Accept promo code,Display Benefit,Connect to Campaign Flow,,,,Ability to give existing users ability to use promo codes in order to trigger different reactivation offers on TV/Radio,Increase reactivations from radio and tv channels by 3.5%,n/a,
